,小区名字,总价,户型,建筑面积,单价,区域
1,长影世纪村,148,2室2厅,104.82平米,14120,朝阳区
2,万龙城,92,3室1厅,96.13平米,9571,南关区
3,中海凤凰熙岸,115,3室2厅,108.04平米,10645,南关区
4,公交宿舍,59,2室1厅,62.4平米,9456,朝阳区
5,开运福里A2区,118,3室2厅,96.46平米,12234,朝阳区
6,富豪花园别墅区,150,4室2厅,208.46平米,7196,朝阳区
7,车城花园,94,3室2厅,151.79平米,6193,绿园区
8,国信 ·嘉邑,137,3室2厅,123.73平米,11073,南关区
9,中海国际社区D区,240,3室2厅,163.27平米,14700,净月区
10,东安瑞凯国际一期,82,3室1厅,108.6平米,7551,南关区
11,圣世金鼎城,119,3室2厅,128平米,9297,南关区
12,保利春天里,109,3室1厅,99.79平米,10923,高新区
13,恒大名都,93,3室1厅,113.68平米,8181,高新区
14,郡望安石,85,3室2厅,93.76平米,9066,宽城区
15,中海兰庭,104.5,3室2厅,115.08平米,9081,高新区
16,星宇名家,103,3室2厅,107.8平米,9555,朝阳区
17,中海水岸春城,110,4室3厅,151.39平米,7267,净月区
18,万龙丽水湾,127,3室1厅,133.47平米,9516,高新区
19,吉林大学泰来小区,85,3室2厅,112.27平米,7572,绿园区
20,中海紫御华府,200,3室2厅,152.93平米,13078,经开区
21,咖啡小镇,109,3室2厅,121.86平米,8945,高新区
22,倚澜观邸二期,180,3室2厅,135平米,13334,高新区
23,吴中天悦公馆,329,5室2厅,238.56平米,13792,汽车产业开发区
24,绿色家园(净月区),86,3室2厅,114.72平米,7497,净月区
25,二三小区,47,2室1厅,52.44平米,8963,南关区
26,万龙第十城A区,45,1室1厅,46.47平米,9684,宽城区
27,万龙第十城A区,59.8,2室1厅,67.03平米,8922,宽城区
28,水宜家苑,75,2室2厅,114.35平米,6559,南关区
29,万科蓝山F区,105,2室2厅,88.26平米,11897,二道区
30,阳光华尔兹A区,87,2室1厅,97.28平米,8944,二道区
1,阳光华尔兹A区,87,2室1厅,97.28平米,8944,二道区
2,华源公园1号二期,63,2室1厅,69.76平米,9031,宽城区
3,早安长春,70,2室0厅,60.99平米,11478,高新区
4,万科蓝山E区,161,3室2厅,135.4平米,11891,二道区
5,国信央城八号,85,2室1厅,78.9平米,10774,南关区
6,环球凯旋公馆,123,3室2厅,120.31平米,10224,净月区
7,鸿伯园小区,88,3室2厅,123.96平米,7100,绿园区
8,绿地城,116,3室2厅,108.72平米,10670,高新区
9,吉粮康郡,128,3室2厅,93.88平米,13635,绿园区
10,万科新都会,173,3室2厅,127平米,13623,南关区
11,新星宇和润上邻B区,126,3室1厅,123平米,10244,南关区
12,净水山莊,75.6,3室1厅,73平米,10357,南关区
13,松辉小区一期,72,2室2厅,90.5平米,7956,朝阳区
14,潭泽东南明珠,150,3室1厅,166.28平米,9021,净月区
15,咖啡小镇,105,3室2厅,121.86平米,8617,高新区
16,万科惠斯勒小镇,140,3室1厅,132平米,10607,净月区
17,万龙丽水湾,70,1室1厅,54.82平米,12770,高新区
18,昊源高格蓝湾,115,2室1厅,95.61平米,12029,二道区
19,万科蓝山E区,108,2室2厅,91.45平米,11810,二道区
20,恒大御峰,112,3室2厅,134平米,8359,南关区
21,长新小区,66,3室2厅,132平米,5000,宽城区
22,新星宇和悦,100,3室2厅,100.91平米,9910,高新区
23,吉盛小区1期,63,2室1厅,61平米,10328,二道区
24,安居北B区,62,2室1厅,80平米,7750,绿园区
25,宝迪克公馆,30.5,1室1厅,46.05平米,6624,南关区
26,银达小区,49.5,2室1厅,60平米,8250,宽城区
27,净馨家园,65,2室1厅,75平米,8667,净月区
28,钻石城,74,2室1厅,95.7平米,7733,二道区
29,重庆小区,64,3室1厅,74.54平米,8586,南关区
30,绿园小区,50,2室1厅,57.2平米,8742,绿园区
1,平至小区,33.5,1室1厅,38.03平米,8809,南关区
2,怡通家园,163,3室2厅,141.26平米,11540,南关区
3,新奥蓝城三期,182,3室2厅,143平米,12728,汽车产业开发区
4,华润橡树湾1.2期,120,2室2厅,91.21平米,13157,南关区
5,省政府,54,2室1厅,59平米,9153,南关区
6,盛华小区,52,2室1厅,55.9平米,9303,南关区
7,中铁国际花园,78,2室1厅,93平米,8388,汽车产业开发区
8,隆礼路,85,2室1厅,60.12平米,14139,朝阳区
9,经开四区,61,2室1厅,70平米,8715,经开区
10,东皇银河家园,121,3室1厅,134.47平米,8999,净月区
11,车城名仕家园一汽二十五街区,95,3室2厅,130.32平米,7290,汽车产业开发区
12,上台花园A区,62.8,2室1厅,80.38平米,7813,宽城区
13,潭泽东南明珠,145,4室2厅,146平米,9932,净月区
14,恒盛豪庭,121.5,3室2厅,143平米,8497,高新区
15,力旺美林,87,2室1厅,83.32平米,10442,南关区
16,车城名仕花园三期,66,2室1厅,86.94平米,7592,汽车产业开发区
17,中天北湾新城一期,87,2室2厅,95.13平米,9146,高新北区
18,美景天城B区,85.8,2室2厅,96.74平米,8870,宽城区
19,长春国际商务中心,118,3室1厅,134.98平米,8743,南关区
20,水岸南华庭,84,2室2厅,86.46平米,9716,南关区
21,美景天城B区,62,2室1厅,77.05平米,8047,宽城区
22,伟业星城,85.5,2室1厅,77.02平米,11102,高新区
23,君地天城,113,3室2厅,133.17平米,8486,汽车产业开发区
24,红旗嘉园,86,2室2厅,105.87平米,8124,高新区
25,益田枫露一期,85,2室1厅,88.92平米,9560,高新区
26,国信 ·嘉邑,135,3室2厅,123.47平米,10934,南关区
27,中海兰庭,106,2室1厅,98.85平米,10724,高新区
28,东城名郡东区,109.8,2室2厅,102.71平米,10691,二道区
29,万龙名城,141,3室1厅,119.31平米,11818,二道区
30,国信御湖公馆,153,3室2厅,113.12平米,13526,南关区
1,中信城浅山,96,4室1厅,106.25平米,9036,净月区
2,力旺格林春天,75,2室1厅,83.77平米,8954,汽车产业开发区
3,超达家园,95,2室1厅,94.45平米,10059,朝阳区
4,保利春天里,120,2室1厅,89.9平米,13349,高新区
5,保利春天里,116,2室1厅,89平米,13034,高新区
6,吉森漫桦林,109,2室2厅,94.7平米,11511,南关区
7,华亿红府,350,4室2厅,170.2平米,20565,朝阳区
8,万龙丽水湾,115,3室2厅,106.52平米,10797,高新区
9,君地天城,73,2室2厅,111.15平米,6568,汽车产业开发区
10,万龙北斗星城B区,87,2室1厅,88.76平米,9802,宽城区
11,御翠园四期,215,4室3厅,267.88平米,8026,净月区
12,万科城三期,112,3室2厅,99.86平米,11216,净月区
13,中海凤凰熙岸,94,2室2厅,89.16平米,10543,南关区
14,新星宇左岸,88,2室1厅,86.47平米,10177,高新区
15,钜城臻品壹号院,88,2室1厅,92.95平米,9468,南关区
16,东田青年城A区,78,3室2厅,87.5平米,8915,宽城区
17,开运福里B区,84.5,3室2厅,89.28平米,9465,朝阳区
18,万龙国际城一期,98,2室2厅,98.51平米,9949,宽城区
19,宇都和源,86,2室2厅,93.81平米,9168,高新区
20,雨润溪树华庭（南区）,85,2室1厅,92.08平米,9232,宽城区
21,御景名家A区,140,2室2厅,103.8平米,13488,汽车产业开发区
22,丰和日丽,104.5,2室1厅,85.29平米,12253,绿园区
23,绿地长春上海城B区,89,2室2厅,90.91平米,9790,绿园区
24,隆都翡翠湾,82,3室2厅,128.81平米,6366,绿园区
25,通安小区,55,3室1厅,71.44平米,7699,二道区
26,富豪花园西华苑,118,4室2厅,143平米,8252,朝阳区
27,保利罗兰香谷,385,4室2厅,248.92平米,15467,高新区
28,亚泰樱花苑,56.8,2室1厅,49.3平米,11522,二道区
29,福临家园西区,85,2室1厅,109平米,7799,经开区
30,长师宿舍,76.8,3室1厅,74平米,10379,南关区
1,长影世纪村,148,2室2厅,104.82平米,14120,朝阳区
2,万龙城,92,3室1厅,96.13平米,9571,南关区
3,中海凤凰熙岸,115,3室2厅,108.04平米,10645,南关区
4,公交宿舍,59,2室1厅,62.4平米,9456,朝阳区
5,开运福里A2区,118,3室2厅,96.46平米,12234,朝阳区
6,富豪花园别墅区,150,4室2厅,208.46平米,7196,朝阳区
7,车城花园,94,3室2厅,151.79平米,6193,绿园区
8,国信 ·嘉邑,137,3室2厅,123.73平米,11073,南关区
9,中海国际社区D区,240,3室2厅,163.27平米,14700,净月区
10,东安瑞凯国际一期,82,3室1厅,108.6平米,7551,南关区
11,圣世金鼎城,119,3室2厅,128平米,9297,南关区
12,保利春天里,109,3室1厅,99.79平米,10923,高新区
13,恒大名都,93,3室1厅,113.68平米,8181,高新区
14,郡望安石,85,3室2厅,93.76平米,9066,宽城区
15,中海兰庭,104.5,3室2厅,115.08平米,9081,高新区
16,星宇名家,103,3室2厅,107.8平米,9555,朝阳区
17,中海水岸春城,110,4室3厅,151.39平米,7267,净月区
18,万龙丽水湾,127,3室1厅,133.47平米,9516,高新区
19,吉林大学泰来小区,85,3室2厅,112.27平米,7572,绿园区
20,中海紫御华府,200,3室2厅,152.93平米,13078,经开区
21,咖啡小镇,109,3室2厅,121.86平米,8945,高新区
22,倚澜观邸二期,180,3室2厅,135平米,13334,高新区
23,吴中天悦公馆,329,5室2厅,238.56平米,13792,汽车产业开发区
24,绿色家园(净月区),86,3室2厅,114.72平米,7497,净月区
25,二三小区,47,2室1厅,52.44平米,8963,南关区
26,万龙第十城A区,45,1室1厅,46.47平米,9684,宽城区
27,万龙第十城A区,59.8,2室1厅,67.03平米,8922,宽城区
28,水宜家苑,75,2室2厅,114.35平米,6559,南关区
29,万科蓝山F区,105,2室2厅,88.26平米,11897,二道区
30,阳光华尔兹A区,87,2室1厅,97.28平米,8944,二道区
31,万龙名城,141,3室1厅,119.31平米,11818,二道区
32,中信城浅山,137,3室2厅,125.8平米,10891,净月区
33,轻型宿舍,59,2室1厅,78.57平米,7510,宽城区
34,恒大城,76,2室1厅,99.12平米,7668,宽城区
35,卉香花园,95,3室2厅,113.55平米,8367,南关区
36,南湖祥水湾,188,3室2厅,126.87平米,14819,朝阳区
37,钜城臻品三号院,75.5,2室1厅,69.14平米,10920,南关区
38,保利罗兰香谷,111,2室2厅,89.53平米,12399,高新区
39,君地天城,75,2室2厅,85.03平米,8821,汽车产业开发区
40,君地天城三区,106,3室1厅,119.61平米,8863,汽车产业开发区
41,红旗嘉园,73,2室1厅,85.53平米,8536,高新区
42,万龙台北明珠三期,86.5,2室1厅,86.56平米,9994,宽城区
43,美景天城B区,63,2室1厅,76.94平米,8189,宽城区
44,长春国际商务中心,109.5,3室1厅,127.77平米,8571,南关区
45,澳海澜苑,101,2室1厅,87.04平米,11604,高新区
46,东湾半岛第三区,91.6,2室1厅,89.3平米,10258,南关区
47,万龙名城,158,3室2厅,128.92平米,12256,二道区
48,凯旋花园,50.9,2室1厅,66.49平米,7656,宽城区
49,万龙名城,129,3室1厅,109.74平米,11756,二道区
50,力旺格林春天,75,2室2厅,87.15平米,8606,汽车产业开发区
51,御景名家B区,128,2室2厅,104.95平米,12197,汽车产业开发区
52,蓉桥一号C区,83,3室1厅,106.49平米,7795,绿园区
53,金祥奥邻郡,54,2室1厅,66.81平米,8083,汽车产业开发区
54,万龙第八城E区,55,2室1厅,65.83平米,8355,宽城区
55,昊源高格蓝湾,135,2室2厅,127.39平米,10598,二道区
56,开发区六小区,84.5,2室1厅,109.8平米,7696,经开区
57,檀香湾,56,2室1厅,62.4平米,8975,汽车产业开发区
58,国信御湖公馆北区,110,2室2厅,103.2平米,10659,南关区
59,力旺格林春天,75,2室1厅,80.89平米,9272,汽车产业开发区
60,一品红城二期,140,2室2厅,98.64平米,14194,朝阳区
1,阳光华尔兹A区,87,2室1厅,97.28平米,8944,二道区
2,华源公园1号二期,63,2室1厅,69.76平米,9031,宽城区
3,早安长春,70,2室0厅,60.99平米,11478,高新区
4,万科蓝山E区,161,3室2厅,135.4平米,11891,二道区
5,国信央城八号,85,2室1厅,78.9平米,10774,南关区
6,环球凯旋公馆,123,3室2厅,120.31平米,10224,净月区
7,鸿伯园小区,88,3室2厅,123.96平米,7100,绿园区
8,绿地城,116,3室2厅,108.72平米,10670,高新区
9,吉粮康郡,128,3室2厅,93.88平米,13635,绿园区
10,万科新都会,173,3室2厅,127平米,13623,南关区
11,新星宇和润上邻B区,126,3室1厅,123平米,10244,南关区
12,净水山莊,75.6,3室1厅,73平米,10357,南关区
13,松辉小区一期,72,2室2厅,90.5平米,7956,朝阳区
14,潭泽东南明珠,150,3室1厅,166.28平米,9021,净月区
15,咖啡小镇,105,3室2厅,121.86平米,8617,高新区
16,万科惠斯勒小镇,140,3室1厅,132平米,10607,净月区
17,万龙丽水湾,70,1室1厅,54.82平米,12770,高新区
18,昊源高格蓝湾,115,2室1厅,95.61平米,12029,二道区
19,万科蓝山E区,108,2室2厅,91.45平米,11810,二道区
20,恒大御峰,112,3室2厅,134平米,8359,南关区
21,长新小区,66,3室2厅,132平米,5000,宽城区
22,新星宇和悦,100,3室2厅,100.91平米,9910,高新区
23,吉盛小区1期,63,2室1厅,61平米,10328,二道区
24,安居北B区,62,2室1厅,80平米,7750,绿园区
25,宝迪克公馆,30.5,1室1厅,46.05平米,6624,南关区
26,银达小区,49.5,2室1厅,60平米,8250,宽城区
27,净馨家园,65,2室1厅,75平米,8667,净月区
28,钻石城,74,2室1厅,95.7平米,7733,二道区
29,重庆小区,64,3室1厅,74.54平米,8586,南关区
30,绿园小区,50,2室1厅,57.2平米,8742,绿园区
31,中铁国际花园,80,2室1厅,85.7平米,9335,汽车产业开发区
32,中海兰庭,119,3室2厅,109.09平米,10909,高新区
33,御翠园四期,226,4室3厅,287.92平米,7850,净月区
34,东皇君园一期,38,1室1厅,46.85平米,8111,汽车产业开发区
35,半导体宿舍,32,1室1厅,32.68平米,9792,朝阳区
36,首地首城,95,2室2厅,99.81平米,9519,经开区
37,中冶蓝城,86,2室2厅,86.05平米,9995,宽城区
38,蓝色港湾三期,75.8,2室1厅,68.37平米,11087,二道区
39,中信城圣达美安,450,4室2厅,301.74平米,14914,净月区
40,新星宇和源A区二期,100,2室2厅,95平米,10527,高新区
41,湖畔诚品北区,84,2室1厅,76平米,11053,朝阳区
42,君地天城,130,4室2厅,159.77平米,8137,汽车产业开发区
43,恒盛豪庭,83,2室1厅,91.9平米,9032,高新区
44,成涛绿锦国际,72,2室2厅,74.9平米,9613,绿园区
45,南湖职工新村,47,2室1厅,72平米,6528,朝阳区
46,新科小区,70,3室1厅,76平米,9211,南关区
47,君地天城,71,2室1厅,81.09平米,8756,汽车产业开发区
48,万科城市花园,175,3室2厅,142.8平米,12255,二道区
49,中信城云邸,513,5室3厅,299.12平米,17151,净月区
50,万晟幸福里,105,3室2厅,113.1平米,9284,南关区
51,富奥花园A区,105,3室2厅,143.74平米,7305,净月区
52,中海兰庭,125,3室2厅,123.12平米,10153,高新区
53,恒大首府,105,3室2厅,115.28平米,9109,汽车产业开发区
54,绿地新里中央公馆,145,3室2厅,136.13平米,10652,南关区
55,富豪花园东明苑,79,4室1厅,136.85平米,5773,朝阳区
56,国信央城八号,175,4室2厅,160.38平米,10912,南关区
57,万龙城,105,3室1厅,95平米,11053,南关区
58,中国铁建花语城,235,3室2厅,140.41平米,16737,高新区
59,良品柏宏筑福里,101.8,3室2厅,107.57平米,9464,经开北区
60,成涛绿锦国际,106,2室2厅,103.13平米,10279,绿园区
1,中信城浅山,96,4室1厅,106.25平米,9036,净月区
2,力旺格林春天,75,2室1厅,83.77平米,8954,汽车产业开发区
3,超达家园,95,2室1厅,94.45平米,10059,朝阳区
4,保利春天里,120,2室1厅,89.9平米,13349,高新区
5,保利春天里,116,2室1厅,89平米,13034,高新区
6,吉森漫桦林,109,2室2厅,94.7平米,11511,南关区
7,华亿红府,350,4室2厅,170.2平米,20565,朝阳区
8,万龙丽水湾,115,3室2厅,106.52平米,10797,高新区
9,君地天城,73,2室2厅,111.15平米,6568,汽车产业开发区
